At the end of March,Telecom Subscribers,State/overall,Total,Wireline,Wireless,Rural,Urban,Public,Private
2021,Telecom Subscribers (In Million),West Bengal,56.55,0.26,56.29,34.85,21.7,2.73,53.82
2022,Telecom Subscribers (In Million),West Bengal,56.75,0.38,56.37,34.57,22.18,2.88,53.87
2008,Telecom Subscribers (In Million),Kolkata,9.33,1.49,7.84,0.73,8.6,2.43,6.9
2009,Telecom Subscribers (In Million),Kolkata,13.18,1.54,11.64,1.04,12.14,2.95,10.23
2010,Telecom Subscribers (In Million),Kolkata,17.87,1.46,16.4,0.72,17.14,3.11,14.76
2011,Telecom Subscribers (In Million),Kolkata,24.61,1.4,23.21,0.92,23.7,3.69,20.93
2012,Telecom Subscribers (In Million),Kolkata,26.17,1.18,24.99,0.9,25.27,3.4,22.77
2013,Telecom Subscribers (In Million),Kolkata,22.4,1.14,21.26,0.95,21.46,3.23,19.18
2014,Telecom Subscribers (In Million),Kolkata,22.15,1.08,21.07,1.77,20.38,1.71,20.44
2015,Telecom Subscribers (In Million),Kolkata,23.56,1,22.56,1.59,21.97,1.55,22.02
2016,Telecom Subscribers (In Million),Kolkata,25.93,0.91,25.03,1.79,24.15,1.45,24.48
2017,Telecom Subscribers (In Million),Kolkata,30.18,0.86,29.32,2.38,27.8,1.57,28.61
2018,Telecom Subscribers (In Million),Kolkata,29.61,0.79,28.81,3.28,26.32,2.02,27.58
2019,Telecom Subscribers (In Million),Kolkata,27.05,0.71,26.34,2.83,24.22,2.05,25
2020,Telecom Subscribers (In Million),Kolkata,26.35,0.62,25.73,1.88,24.47,2.49,23.87
2021,Telecom Subscribers (In Million),Kolkata,27.35,0.67,26.67,1.5,25.85,2.85,24.5
2022,Telecom Subscribers (In Million),Kolkata,24.67,0.9,23.77,1.53,23.14,2.64,22.03
2008,Telecom Subscribers (In Million),Chennai,8.44,1.38,7.06,0.12,8.32,1.99,6.44
2009,Telecom Subscribers (In Million),Chennai,10.63,1.4,9.23,0.12,10.51,2.14,8.5
2010,Telecom Subscribers (In Million),Chennai,12.81,1.47,11.35,0.12,12.69,2.3,10.52
2011,Telecom Subscribers (In Million),Chennai,14.38,1.48,12.9,0.11,14.27,2.53,11.86
2012,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2013,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2014,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2015,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2016,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2017,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2018,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2019,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2020,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2021,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2022,Telecom Subscribers (In Million),Chennai,NA,NA,NA,NA,NA,NA,NA
2008,Telecom Subscribers (In Million),Delhi,18.7,2.42,16.28,0,18.7,3.18,15.52
2009,Telecom Subscribers (In Million),Delhi,24.5,2.52,21.98,0,24.5,3.59,20.92
2010,Telecom Subscribers (In Million),Delhi,31.01,2.71,28.3,0.34,30.67,3.94,27.07
2011,Telecom Subscribers (In Million),Delhi,41.66,2.84,38.82,1.1,40.56,4.19,37.47
2012,Telecom Subscribers (In Million),Delhi,45.4,2.91,42.49,1.78,43.63,4.45,40.95
2013,Telecom Subscribers (In Million),Delhi,43.39,2.96,40.43,2.13,41.25,4.19,39.2
2014,Telecom Subscribers (In Million),Delhi,45.69,3.1,42.58,2.37,43.32,3.91,41.78
2015,Telecom Subscribers (In Million),Delhi,49.33,3.14,46.19,2.22,47.11,3.96,45.37
2016,Telecom Subscribers (In Million),Delhi,50.42,3.17,47.24,2.26,48.16,3.93,46.48
2017,Telecom Subscribers (In Million),Delhi,56.57,3.22,53.35,2.54,54.03,3.93,52.65
2018,Telecom Subscribers (In Million),Delhi,57.45,3.19,54.26,2.96,54.49,3.82,53.64
2019,Telecom Subscribers (In Million),Delhi,55.39,3.26,52.14,1.61,53.79,3.69,51.7
2020,Telecom Subscribers (In Million),Delhi,56.58,3.18,53.4,1.73,54.85,3.58,53
2021,Telecom Subscribers (In Million),Delhi,58.1,3.55,54.55,2.17,55.94,3.48,54.62
2022,Telecom Subscribers (In Million),Delhi,56.2,3.93,52.27,1.76,54.44,3.44,52.76
2008,Telecom Subscribers (In Million),Mumbai,16.32,2.69,13.63,0,16.32,4.03,12.29
2009,Telecom Subscribers (In Million),Mumbai,22.11,2.88,19.23,0,22.11,4.47,17.64
2010,Telecom Subscribers (In Million),Mumbai,29.43,2.95,26.48,0,29.43,4.65,24.78
2011,Telecom Subscribers (In Million),Mumbai,37.79,2.99,34.8,0,37.79,4.75,33.04
2012,Telecom Subscribers (In Million),Mumbai,39.29,3.01,36.28,0,39.29,4.84,34.45
2013,Telecom Subscribers (In Million),Mumbai,33.36,2.99,30.37,0.13,33.23,4.27,29.09
2014,Telecom Subscribers (In Million),Mumbai,33.95,3.06,30.89,0.35,33.61,3,30.95
2015,Telecom Subscribers (In Million),Mumbai,33.73,3.06,30.67,0.68,33.06,3.14,30.59
2016,Telecom Subscribers (In Million),Mumbai,34.84,3.04,31.8,0.84,34,3.13,31.71
2017,Telecom Subscribers (In Million),Mumbai,39.62,3.04,36.58,1.4,38.23,3.16,36.46
2018,Telecom Subscribers (In Million),Mumbai,39.51,2.99,36.52,1.85,37.66,3.09,36.42
2019,Telecom Subscribers (In Million),Mumbai,40.93,2.92,38.01,1.64,39.29,3,37.93
2020,Telecom Subscribers (In Million),Mumbai,40.69,2.86,37.83,2.12,38.57,2.88,37.81
2021,Telecom Subscribers (In Million),Mumbai,40.71,3.06,37.65,1.52,39.19,2.72,37.99
2022,Telecom Subscribers (In Million),Mumbai,37.36,3.09,34.27,1.12,36.24,2.49,34.87
2008,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,300.49,39.41,261.08,76.5,223.99,79.55,220.94
2009,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,429.73,37.96,391.76,123.51,306.21,89.55,340.18
2010,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,621.28,36.96,584.32,200.77,420.51,105.87,515.41
2011,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,846.33,34.73,811.6,282.29,564.04,126,720.33
2012,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,951.35,32.17,919.17,330.83,620.52,130.27,821.08
2013,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,898.02,30.21,867.81,349.21,548.8,130.11,767.91
2014,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,933.02,28.5,904.52,377.78,555.23,120.05,812.96
2015,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,996.13,26.59,969.54,416.08,580.05,100.34,895.79
2016,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,1059.33,25.22,1034.11,447.77,611.56,108.65,950.68
2017,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,1194.99,24.4,1170.59,501.81,693.18,122.18,1072.81
2018,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,1211.8,22.81,1188.99,525.87,685.93,131.66,1080.14
2019,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,1183.41,21.7,1161.71,514.27,669.14,133.51,1049.9
2020,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,1176.79,19.13,1157.67,521.26,655.54,134.97,1041.82
2021,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,1200.88,20.24,1180.64,537.11,663.76,131.16,1069.72
2022,Telecom Subscribers (In Million),Service Area wise Subscribers - Overall,1166.84,24.82,1142.02,519.63,647.21,127.1,1039.74
